 # of RX ,description,AMITRIPTYLINE,BUPROPION,CITALOPRAM,DESVENLAFAXINE,DOXEPIN,DULOXETINE,ESCITALOPRAM,FLUOXETINE,MIRTAZAPINE,NORTRIPTYLINE,OTHER,PAROXETINE,ROPINIROLE,SERTRALINE,TRAZODONE,VENLAFAXINE
  2 ,"Age: 20-40 | Gender: Male | MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE (dxo:ICD9:29622)",,0.05705705706,,,,,,,,,,,,0.4797297297,,
  1 ,"Age: 20-40 | Gender: Male | MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, MODERATE (dxo:ICD9:29622) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,0.08870967742,,,,,,,,,,,,,,
  3 ,"Age: 20-40 | Gender: Male | MAJOR DEPRESSIVE DISORDER, SINGLE EPISODE, UNSPECIFIED (dxo:ICD9:29620)",,0.04155844156,,,,,,,,,,,,0.480620155,,0.5523809524
  1 ,Age: 20-40 | Gender: Male | METAXALONE,,,0.3731343284,,,,,,,,,,,,,
  3 ,Age: 20-40 | Gender: Male | METHYLPHENIDATE HCL,,0.04132231405,0.48,,,,,,,,,,,0.5149253731,,
  1 ,Age: 20-40 | Gender: Male | METRONIDAZOLE,,,,,,,,,,,,,,0.4552845528,,
  4 ,"Age: 20-40 | Gender: Male | MIGRAINE, UNSPECIFIED WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS (dxo:ICD9:34690)",0,,,,,,0.1693548387,,,0.05,,,,0.4769230769,,
  10 ,Age: 20-40 | Gender: Male | MIRTAZAPINE,,0.04102564103,0.2365591398,,,0.2865853659,0.07555555556,0.1860465116,0.2111879321,,0.2155172414,0.2295081967,,0.3903508772,,0.376
  1 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | Num Previous Antidep: 4+,,,,,,,,,,,0.1320754717,,,,,
  1 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | Num Previous Antidep: 4+ | TRAZODONE HCL,,,,,,,,,,,0.1870503597,,,,,
  2 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | PAROXETINE HCL,,,,,,,,,,,0.25,0.3966942149,,,,
  1 ,"Age: 20-40 | Gender: Male | MIRTAZAPINE | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,,,,,,,,,0.05970149254,,,,,
  1 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | RISPERIDONE,,,,,,,,,,,0.1261261261,,,,,
  3 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | SERTRALINE HCL,,,,,,,,,0.2033898305,,0.2350993377,,,0.3434650456,,
  2 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | TRAZODONE HCL,,,,,,,,,0.1824817518,,0.1793814433,,,,,
  1 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | TRAZODONE HCL | VENLAFAXINE HCL,,,,,,,,,,,0.2113821138,,,,,
  3 ,Age: 20-40 | Gender: Male | MIRTAZAPINE | VENLAFAXINE HCL,,,,,,,,,0.13,,0.204954955,,,,,0.5490196078
  4 ,Age: 20-40 | Gender: Male | MONTELUKAST SODIUM,,,0.5185185185,,,,,0.4583333333,,,0.28,,,0.3725490196,,
  2 ,Age: 20-40 | Gender: Male | MORBID OBESITY (dxo:ICD9:27801),,0.02083333333,,,,,0.2020725389,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | MOXIFLOXACIN HCL,,,,,,,0.1210526316,,,,,,,,,
  6 ,Age: 20-40 | Gender: Male | MYOPIA (dxo:ICD9:3671),,0.04914529915,0.4297297297,,,,0.1552511416,0.4696969697,,,,0.4525547445,,0.5298013245,,
  1 ,Age: 20-40 | Gender: Male | MYOPIA (dxo:ICD9:3671) | SERTRALINE HCL,,,,,,,,,,,,,,0.6446280992,,
  3 ,Age: 20-40 | Gender: Male | NAPROXEN,0,,,,,,0.168,,,,,,,0.4705882353,,
  1 ,Age: 20-40 | Gender: Male | NEOPLASM OF UNCERTAIN BEHAVIOR OF SKIN (dxo:ICD9:2382),,0.02877697842,,,,,,,,,,,,,,
  1 ,"Age: 20-40 | Gender: Male | NONALLOPATHIC LESION OF CERVICAL REGION, NOT ELSEWHERE CLASSIFIED (dxo:ICD9:7391)",,,,,,,,,,,,,,0.5633802817,,
  1 ,"Age: 20-40 | Gender: Male | NONALLOPATHIC LESION OF THORACIC REGION, NOT ELSEWHERE CLASSIFIED (dxo:ICD9:7392)",,,,,,,,,,,,0.3791208791,,,,
  3 ,"Age: 20-40 | Gender: Male | NONDEPENDENT ALCOHOL ABUSE, UNSPECIFIED DRUNKENNESS (dxo:ICD9:30500)",,,0.3617021277,,,,,0.3291139241,,,,,,,0.01369863014,
  7 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051),,0.02578947368,0.3545454545,,,,0.1311619718,0.3875,0.1478873239,,,,,0.4184675835,0.015625,
  1 ,"Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | OBESITY, UNSPECIFIED (dxo:ICD9:27800)",,0.0462962963,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | OTHER MALAISE AND FATIGUE (dxo:ICD9:78079),,0.01714285714,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | OTHER PROBLEMS RELATED TO LIFESTYLE (dxo:ICD9:V698),,0,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801),,0.05357142857,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | ROUTINE GENERAL MEDICAL EXAMINATION AT HEALTH CARE FACILITY (dxo:ICD9:V700),,0.006097560976,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | SERTRALINE HCL,,,,,,,,,,,,,,0.625,,
  1 ,Age: 20-40 | Gender: Male | NONDEPENDENT TOBACCO USE DISORDER (dxo:ICD9:3051) | VARENICLINE TARTRATE,,0.02884615385,,,,,,,,,,,,,,
  2 ,Age: 20-40 | Gender: Male | NORTRIPTYLINE HCL,,,,,,,,,,0.1539923954,0.2618069815,,,,,
  2 ,Age: 20-40 | Gender: Male | NORTRIPTYLINE HCL | SERTRALINE HCL,,,,,,,,,,,0.3398058252,,,0.5846153846,,
  1 ,Age: 20-40 | Gender: Male | NORTRIPTYLINE HCL | TRAZODONE HCL,,,,,,,,,,,0.1849710983,,,,,
  1 ,"Age: 20-40 | Gender: Male | Num Previous Antidep: 2,3 | Num Previous Episodes: 2+ | PAROXETINE HCL | TRAZODONE HCL",,,,,,,,,,,,0.54,,,,
  1 ,"Age: 20-40 | Gender: Male | Num Previous Antidep: 2,3 | PAROXETINE HCL | TRAZODONE HCL",,,,,,,,,,,,0.5511811024,,,,
  1 ,"Age: 20-40 | Gender: Male | Num Previous Antidep: 2,3 | SERTRALINE HCL | TRAZODONE HCL",,,,,,,,,,,,,,0.5879120879,,
  1 ,"Age: 20-40 | Gender: Male | Num Previous Antidep: 2,3 | SERTRALINE HCL | VENLAFAXINE HCL",,,,,,,,,,,,,,0.76,,
  1 ,Age: 20-40 | Gender: Male | Num Previous Antidep: 4+,,,,,,,,,,,0.1291666667,,,,,
  1 ,Age: 20-40 | Gender: Male | Num Previous Antidep: 4+ | PAROXETINE HCL,,,,,,,,,,,,0.3052631579,,,,
  1 ,Age: 20-40 | Gender: Male | Num Previous Antidep: 4+ | TRAZODONE HCL,,,,,,,,,,,0.1854304636,,,,,
  1 ,Age: 20-40 | Gender: Male | Num Previous Antidep: 4+ | TRAZODONE HCL | VENLAFAXINE HCL,,,,,,,,,,,0.1775700935,,,,,
  1 ,Age: 20-40 | Gender: Male | Num Previous Episodes: 2+ | PAROXETINE HCL | TRAZODONE HCL,,,,,,,,,,,,0.5428571429,,,,
  1 ,"Age: 20-40 | Gender: Male | OBESITY, UNSPECIFIED (dxo:ICD9:27800)",,0.03846153846,,,,,,,,,,,,,,
  3 ,Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003),,0.05521472393,,,,,0.3039215686,,,,0.141563786,,,,,
  1 ,Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003) | PAROXETINE HCL,,,,,,,,,,,0.1776315789,,,,,
  1 ,"Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003) | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,,,,,,,,,0.1160714286,,,,,
  1 ,Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003) | SERTRALINE HCL,,,,,,,,,,,0.1387283237,,,,,
  1 ,Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003) | TRAZODONE HCL,,,,,,,,,,,0.1142857143,,,,,
  1 ,Age: 20-40 | Gender: Male | OBSESSIVE-COMPULSIVE DISORDERS (dxo:ICD9:3003) | VENLAFAXINE HCL,,,,,,,,,,,0.1736111111,,,,,
  6 ,Age: 20-40 | Gender: Male | OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC) (dxo:ICD9:32723),,,0.4872665535,,,,0.2109038737,0.5185185185,,,0.2259887006,0.3868613139,,0.5105932203,,
  1 ,Age: 20-40 | Gender: Male | OBSTRUCTIVE SLEEP APNEA (ADULT) (PEDIATRIC) (dxo:ICD9:32723) | SERTRALINE HCL,,,,,,,,,,,,,,0.6359223301,,
  4 ,Age: 20-40 | Gender: Male | OMEPRAZOLE,,0.05,,,,,0.1769041769,0.4772727273,,,0.1690140845,,,,,
  1 ,"Age: 20-40 | Gender: Male | OPIOID TYPE DEPENDENCE, UNSPECIFIED (dxo:ICD9:30400)",,,,,,,,,,,,,,,0.02153110048,
  2 ,Age: 20-40 | Gender: Male | OSELTAMIVIR PHOSPHATE,,,0.4718309859,,,,0.1428571429,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | OTHER ACNE (dxo:ICD9:7061),,,0.3859649123,,,,,,,,,,,,,
  3 ,"Age: 20-40 | Gender: Male | OTHER AND UNSPECIFIED ALCOHOL DEPENDENCE, UNSPECIFIED DRUNKENNESS (dxo:ICD9:30390)",,0.06930693069,0.3302752294,,,,,,,,,,,0.3657142857,,
  1 ,Age: 20-40 | Gender: Male | OTHER AND UNSPECIFIED BIPOLAR DISORDERS (dxo:ICD9:29689),,0.03003003003,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | OTHER CONVULSIONS (dxo:ICD9:78039),,0.02542372881,,,,,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | OTHER EXTRAPYRAMIDAL DISEASE AND ABNORMAL MOVEMENT DISORDER (dxo:ICD9:33399),,,,,,,,,,,,,0.2884615385,,,
  1 ,Age: 20-40 | Gender: Male | OTHER EXTRAPYRAMIDAL DISEASE AND ABNORMAL MOVEMENT DISORDER (dxo:ICD9:33399) | ROPINIROLE HCL,,,,,,,,,,,,,0.4201680672,,,
  10 ,Age: 20-40 | Gender: Male | OTHER MALAISE AND FATIGUE (dxo:ICD9:78079),,0.03059440559,0.4959349593,0.5245901639,,0.4071428571,0.1655629139,0.408496732,,,,0.43,,0.5122699387,0,0.558685446
  2 ,Age: 20-40 | Gender: Male | OTHER MALAISE AND FATIGUE (dxo:ICD9:78079) | ROUTINE GENERAL MEDICAL EXAMINATION AT HEALTH CARE FACILITY (dxo:ICD9:V700),,0.01098901099,,,,,0.1417322835,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | OTHER MISCELLANEOUS PROCEDURES (px:ICD9:9999),,,,,,,0.1483253589,,,,,,,,,
  2 ,Age: 20-40 | Gender: Male | OTHER PROBLEMS RELATED TO LIFESTYLE (dxo:ICD9:V698),,0.01990049751,0.4086956522,,,,,,,,,,,,,
  4 ,Age: 20-40 | Gender: Male | OTHER TESTICULAR HYPOFUNCTION (dxo:ICD9:2572),,,0.480620155,,,,0.1815181518,,,,,0.3309859155,,0.478,,
  1 ,Age: 20-40 | Gender: Male | OTHER TESTICULAR HYPOFUNCTION (dxo:ICD9:2572) | SERTRALINE HCL,,,,,,,,,,,,,,0.660130719,,
  2 ,Age: 20-40 | Gender: Male | OXYCODONE HCL,0.01739130435,,,,,,0.15625,,,,,,,,,
  2 ,Age: 20-40 | Gender: Male | OXYCODONE HCL/ACETAMINOPHEN,,0.05479452055,,,,,0.1827411168,,,,,,,,,
  4 ,Age: 20-40 | Gender: Male | PAIN IN SOFT TISSUES OF LIMB (dxo:ICD9:7295),,,0.3411764706,,,,0.1465517241,,,,,0.3457943925,,0.452991453,,
  6 ,Age: 20-40 | Gender: Male | PALPITATIONS (dxo:ICD9:7851),,,0.4304812834,,,,0.142599278,0.3963636364,,,0.1782945736,0.3873239437,,0.4914675768,,
  4 ,Age: 20-40 | Gender: Male | PANIC DISORDER WITHOUT AGORAPHOBIA (dxo:ICD9:30001),,0.05136986301,0.4158415842,,,,,,,,,0.4016393443,,0.4523160763,,
  1 ,Age: 20-40 | Gender: Male | PANIC DISORDER WITHOUT AGORAPHOBIA (dxo:ICD9:30001) | PAROXETINE HCL,,,,,,,,,,,,0.567839196,,,,
  1 ,Age: 20-40 | Gender: Male | PANIC DISORDER WITHOUT AGORAPHOBIA (dxo:ICD9:30001) | SERTRALINE HCL,,,,,,,,,,,,,,0.572815534,,
  12 ,Age: 20-40 | Gender: Male | PAROXETINE HCL,0.01818181818,0.03779527559,0.4285714286,,,0.3223140496,0.1842439644,0.3668831169,0.1505376344,,0.2133634603,0.4554420152,,0.4315436242,0.03801652893,0.5516129032
  3 ,"Age: 20-40 | Gender: Male | PAROXETINE HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",,,,,,,,,,,0.09655172414,0.3072289157,,0.2803738318,,
  1 ,"Age: 20-40 | Gender: Male | PAROXETINE HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,,,,,,,,,,0.07633587786,,,,,
  2 ,"Age: 20-40 | Gender: Male | PAROXETINE HCL | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | TRAZODONE HCL",,,,,,,,,,,0.1485148515,0.2972972973,,,,
  2 ,Age: 20-40 | Gender: Male | PAROXETINE HCL | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801),,,,,,,,,,,0.1174496644,0.4516129032,,,,
  2 ,"Age: 20-40 | Gender: Male | PAROXETINE HCL | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,,,,,0.1746031746,0.2568807339,,,,
  1 ,Age: 20-40 | Gender: Male | PAROXETINE HCL | ROUTINE GENERAL MEDICAL EXAMINATION AT HEALTH CARE FACILITY (dxo:ICD9:V700),,,,,,,,,,,,0.6861313869,,,,
  5 ,Age: 20-40 | Gender: Male | PAROXETINE HCL | SERTRALINE HCL,,0.03225806452,,,,,0.1315789474,,,,0.1949458484,0.4383301708,,0.4757281553,,
  4 ,Age: 20-40 | Gender: Male | PAROXETINE HCL | TRAZODONE HCL,,0.03636363636,,,,,,,,,0.2735703246,0.388638413,,,0.03353057199,
  2 ,Age: 20-40 | Gender: Male | PAROXETINE HCL | VENLAFAXINE HCL,,,,,,,,,,,0.1981981982,0.4961538462,,,,
  1 ,Age: 20-40 | Gender: Male | PERSISTENT DISORDER OF INITIATING OR MAINTAINING SLEEP (dxo:ICD9:30742),,,,,,,,,,,,,,,0.008474576271,
  12 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862)",0.02752293578,0.03421052632,0.1958384333,0.1635220126,,0.1503759398,0.1314553991,0.1530172414,,,0.102003643,0.1828703704,,0.1634146341,0.02777777778,0.1842576029
  9 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801)",,0.0351758794,0.1315789474,0.1751824818,,,0.07164179104,0.1130434783,,,0.06603773585,0.1538461538,,0.168,,0.1559139785
  2 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | SERTRALINE HCL",,,,,,,,,,,0.0652173913,,,0.2673267327,,
  1 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | VENLAFAXINE HCL",,,,,,,,,,,0.1025641026,,,,,
  3 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | SERTRALINE HCL",,,0.1538461538,,,,,,,,0.1026694045,,,0.344783715,,
  2 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | SERTRALINE HCL | TRAZODONE HCL",,,,,,,,,,,0.1443850267,,,0.2520661157,,
  3 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | TRAZODONE HCL",,,,,,,,,,,0.11,,,,0.03225806452,0.1553398058
  2 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | TRAZODONE HCL | VENLAFAXINE HCL",,,,,,,,,,,0.1274509804,,,,,0.2314049587
  2 ,"Age: 20-40 | Gender: Male | PHARMACOLOGIC MANAGEMENT, INCLUDING PRESCRIPTION, USE, AND REVIEW OF MEDICATION WITH NO MORE THAN MINIMAL MEDICAL PSYCHOTHERAPY (px:CPT4:90862) | VENLAFAXINE HCL",,,,,,,,,,,0.1124260355,,,,,0.2687022901
  1 ,Age: 20-40 | Gender: Male | PRAMIPEXOLE DI-HCL,,,,,,,,,,,0.3396689148,,,,,
  1 ,Age: 20-40 | Gender: Male | PRAMIPEXOLE DI-HCL | ROPINIROLE HCL,,,,,,,,,,,0.3063583815,,,,,
  1 ,Age: 20-40 | Gender: Male | PRAMIPEXOLE DI-HCL | TRAZODONE HCL,,,,,,,,,,,0.237037037,,,,,
  1 ,Age: 20-40 | Gender: Male | PREGABALIN,,,,,,0.2910447761,,,,,,,,,,
  1 ,Age: 20-40 | Gender: Male | PROPOXYPHENE NAP/ACETAMINOPHEN,,,,,,,,,,,,0.4333333333,,,,
  7 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791),,,0.275659824,,,,0.1003649635,0.2482100239,,,0.1264367816,0.1666666667,,0.246130031,,0.2192982456
  1 ,"Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHIATRIC DIAGNOSTIC EVALUATION WITH MEDICAL SERVICES (px:CPT4:90792) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,,,,,0.0625,,,,,,,,,
  7 ,"Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,0.1703056769,,,,0.08743169399,0.1626139818,,,0.08602150538,0.1489361702,,0.1731481481,,0.1485148515
  3 ,"Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | PSYCHOTHERAPY, 60 MINUTES WITH PATIENT (px:CPT4:90837)",,,,,,,0.09090909091,0.1714285714,,,,,,0.1452513966,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | SERTRALINE HCL",,,,,,,,,,,,,,0.3276836158,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | PSYCHOTHERAPY, 60 MINUTES WITH PATIENT (px:CPT4:90837)",,,,,,,,,,,,,,0.1810344828,,
  1 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION (px:CPT4:90791) | SERTRALINE HCL,,,,,,,,,,,,,,0.5166666667,,
  5 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC EVALUATION WITH MEDICAL SERVICES (px:CPT4:90792),,,0.2024539877,,,,0.1243243243,0.2819148936,,,0.1678832117,,,0.2410714286,,
  13 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801),0.005780346821,0.04844814534,0.202681388,0.2857142857,,0.1683168317,0.07614213198,0.1944444444,0.08653846154,,0.0974025974,0.1466030989,,0.1836141778,0.03431372549,0.2040816327
  2 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | SERTRALINE HCL,,,,,,,,,,,0.1204819277,,,0.4425087108,,
  1 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | TRAZODONE HCL,,,,,,,,,,,0.09090909091,,,,,
  2 ,Age: 20-40 | Gender: Male | PSYCHIATRIC DIAGNOSTIC INTERVIEW EXAMINATION (px:CPT4:90801) | VENLAFAXINE HCL,,,,,,,,,,,0.1416666667,,,,,0.5
  8 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90833)",,,0.1707317073,0.1614583333,,,0.08424908425,0.1383647799,,,0.09708737864,,,0.1904761905,0.03401360544,0.2340425532
  2 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90833) | SERTRALINE HCL",,,,,,,,,,,0.1093117409,,,0.3525641026,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90833) | SERTRALINE HCL | TRAZODONE HCL",,,,,,,,,,,0.1485148515,,,,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90833) | TRAZODONE HCL",,,,,,,,,,,0.1103896104,,,,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90833) | VENLAFAXINE HCL",,,,,,,,,,,0.1666666667,,,,,
  11 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834)",,,0.1788018433,0.2186234818,,0.1397058824,0.08232445521,0.1858490566,0.0490797546,,0.1106442577,0.1403940887,,0.1817288802,0.01670146138,0.1971365639
  3 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | PSYCHOTHERAPY, 60 MINUTES WITH PATIENT (px:CPT4:90837)",,,0.1337579618,,,,0.06589147287,,,,,,,0.1529411765,,
  4 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | SERTRALINE HCL",,,,,,,0.08974358974,,,,0.1627906977,,,0.3451327434,,0.2038834951
  2 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | SERTRALINE HCL | TRAZODONE HCL",,,,,,,,,,,0.1794871795,,,0.3105263158,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | TRAZODONE HCL",,,,,,,,,,,0.1201923077,,,,,
  1 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | TRAZODONE HCL | VENLAFAXINE HCL",,,,,,,,,,,,,,,,0.3382352941
  2 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT (px:CPT4:90834) | VENLAFAXINE HCL",,,,,,,,,,,0.1748251748,,,,,0.3765690377
  3 ,"Age: 20-40 | Gender: Male | PSYCHOTHERAPY, 45 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY P (px:CPT4:90836)",,,,,,,0.08737864078,0.1138211382,,,,,,0.07586206897,,
